Mã loại xe      | Tên loại xe          
0               | Xe Thuong            
1               | Xe VIP               
2               | Xe Hop Dong          
---------------------------
Tổng: 3.

Mã TX   | Biển KS         | Tên tài xế                       | Loại xe       
         933             7 |              70.2 |  1,035,000
         934             8 |              60.7 |    892,500
         935            11 |              73.5 |  1,084,500
         936            12 |              53.8 |    789,000
         937            17 |              42.5 |    619,500
         938             7 |              89.4 |  1,323,000
         939            13 |                 6 |     72,000
         940             3 |              12.7 |    172,500
         941             5 |              72.9 |  1,075,500
         942            13 |               2.2 |     15,000
         943            12 |              62.5 |    919,500
         944             4 |              10.2 |    135,000
         945             5 |              76.8 |  1,134,000
         946            10 |              93.4 |  1,383,000
         947            11 |              28.9 |    415,500
         948             9 |              97.8 |  1,449,000
         949             3 |                94 |  1,392,000
         950             8 |              88.1 |  1,303,500
         951            18 |              82.3 |  1,216,500
         952             6 |              19.9 |    280,500
         953             7 |              54.5 |    799,500
         954             2 |                16 |    222,000
         955             2 |              24.2 |    345,000
         956            16 |              91.1 |  1,348,500
         957             3 |              78.8 |  1,164,000
         958             4 |                19 |    267,000
         959            18 |              70.7 |  1,042,500
         960            18 |              66.9 |    985,500
         961             6 |              92.4 |  1,368,000
         962            14 |              40.2 |    585,000
         963            17 |              35.5 |    514,500
         964            13 |              23.7 |    337,500
         965             3 |              24.9 |    355,500
         966             4 |              79.7 |  1,177,500
         967            19 |              50.6 |    741,000
         968            18 |              55.3 |    811,500
         969             2 |               5.3 |     61,500
         970             6 |               3.8 |     39,000
         971             8 |              99.9 |  1,480,500
         972            19 |              87.9 |  1,300,500
         973             7 |              27.1 |    388,500
         974             7 |              14.2 |    195,000
         975            16 |              12.2 |    165,000
         976             2 |              12.8 |    174,000
         977            20 |              41.6 |    606,000
         978            18 |              13.2 |    180,000
         979            11 |              60.6 |    891,000
         980            20 |               1.8 |     12,000
         981             4 |              30.5 |    439,500
         982             9 |               3.6 |     36,000
         983             7 |              78.5 |  1,159,500
         984             2 |              39.6 |    576,000
         985            14 |              55.3 |    811,500
         986             2 |                23 |    327,000
         987             4 |              80.8 |  1,194,000
         988             4 |                18 |    252,000
         989             7 |              43.9 |    640,500
         990             5 |              47.2 |    690,000
         991             7 |              18.5 |    259,500
         992             6 |              23.2 |    330,000
         993            11 |              38.5 |    559,500
         994             8 |              57.7 |    847,500
         995            16 |              69.1 |  1,018,500
         996             5 |              85.9 |  1,270,500
         997             6 |              47.6 |    696,000
         998             3 |              30.9 |    445,500
         999            12 |              91.9 |  1,360,500
        1000             9 |              19.7 |    277,500
        1001             2 |              40.5 |    589,500
        1002            16 |                54 |    792,000
        1003             4 |              96.1 |  1,423,500
        1004             8 |               6.8 |     84,000
        1005            16 |              56.8 |    834,000
        1006             4 |              69.3 |  1,021,500
        1007             6 |              58.5 |    859,500
        1008             9 |              54.3 |    796,500
        1009            18 |              60.1 |    883,500
        1010            15 |               6.9 |     85,500
        1011            11 |              60.8 |    894,000
        1012             8 |              33.2 |    480,000
        1013            19 |              55.2 |    810,000
        1014             1 |                16 |    222,000
        1015            19 |               3.5 |     34,500
        1016            19 |              43.7 |    637,500
        1017             2 |              64.1 |    943,500
        1018            14 |                21 |    297,000
        1019             4 |              81.8 |  1,209,000
        1020            18 |                 1 |     12,000
        1021            11 |              92.2 |  1,365,000
        1022            16 |              72.7 |  1,072,500
        1023             8 |               9.7 |    127,500
        1024            15 |              28.1 |    403,500
        1025             3 |              68.3 |  1,006,500
        1026             1 |                69 |  1,017,000
        1027             5 |              36.6 |    531,000
        1028            17 |              59.3 |    871,500
        1029            19 |              80.8 |  1,194,000
        1030             7 |              87.4 |  1,293,000
        1031             1 |              47.9 |    700,500
        1032             8 |              85.2 |  1,260,000
        1033             5 |               9.4 |    123,000
        1034             1 |              86.4 |  1,278,000
        1035             5 |              34.2 |    495,000
        1036             9 |              12.4 |    168,000
        1037             9 |              83.2 |  1,230,000
        1038            18 |                85 |  1,257,000
        1039            19 |              64.4 |    948,000
        1040            12 |              64.9 |    955,500
        1041            15 |              85.6 |  1,266,000
        1042             4 |              22.1 |    313,500
        1043            19 |              50.9 |    745,500
        1044            15 |              62.5 |    919,500
        1045            11 |              83.7 |  1,237,500
        1046            14 |              59.2 |    870,000
        1047            14 |              93.4 |  1,383,000
        1048            16 |              71.6 |  1,056,000
        1049             3 |              17.2 |    240,000
        1050             2 |              62.6 |    921,000
        1051             7 |              38.7 |    562,500
        1052            18 |              33.4 |    483,000
        1053             7 |                20 |    282,000
        1054            12 |              70.1 |  1,033,500
        1055            18 |              34.4 |    498,000
        1056             9 |              97.6 |  1,446,000
        1057            17 |              38.2 |    555,000
        1058             4 |              64.9 |    955,500
        1059            18 |              97.9 |  1,450,500
        1060             5 |              10.6 |    141,000
        1061             8 |              69.5 |  1,024,500
        1062            12 |              54.6 |    801,000
        1063            18 |              98.4 |  1,458,000
        1064             2 |              71.4 |  1,053,000
        1065            15 |               4.6 |     51,000
        1066             4 |                41 |    597,000
        1067            16 |              66.8 |    984,000
        1068             6 |              86.9 |  1,285,500
        1069             3 |              77.3 |  1,141,500
        1070            16 |              82.1 |  1,213,500
        1071            17 |              47.7 |    697,500
        1072            15 |                42 |    612,000
        1073             5 |              86.3 |  1,276,500
        1074             7 |              49.4 |    723,000
        1075            16 |               1.9 |     12,000
        1076             4 |              80.9 |  1,195,500
        1077            10 |               3.1 |     28,500
        1078             1 |               5.1 |     58,500
        1079            16 |              90.9 |  1,345,500
        1080             4 |              65.5 |    964,500
        1081             1 |                49 |    717,000
        1082             3 |              58.2 |    855,000
        1083             1 |               7.2 |     90,000
        1084            14 |              30.7 |    442,500
        1085            11 |              73.1 |  1,078,500
        1086             9 |              14.9 |    205,500
        1087             1 |              54.9 |    805,500
        1088            19 |              35.8 |    519,000
        1089             2 |              60.8 |    894,000
        1090             8 |               8.7 |    112,500
        1091            10 |                92 |  1,362,000
        1092             1 |              42.2 |    615,000
        1093             4 |              70.5 |  1,039,500
        1094            16 |              67.1 |    988,500
        1095             9 |               4.2 |     45,000
        1096             3 |              62.3 |    916,500
        1097            15 |                27 |    387,000
        1098            15 |                26 |    372,000
        1099            11 |              40.5 |    589,500
        1100             5 |              12.5 |    169,500
        1101             4 |              68.7 |  1,012,500
        1102             9 |              46.3 |    676,500
        1103             8 |              97.9 |  1,450,500
        1104             1 |              24.5 |    349,500
        1105            20 |              50.7 |    742,500
        1106            12 |                88 |  1,302,000
        1107             5 |                 9 |    117,000
        1108             1 |              86.3 |  1,276,500
        1109             9 |              55.9 |    820,500
        1110            12 |              55.5 |    814,500
        1111            20 |              36.2 |    525,000
        1112            14 |              92.7 |  1,372,500
        1113            13 |              30.3 |    436,500
        1114            14 |               9.7 |    127,500
        1115            17 |              84.9 |  1,255,500
        1116             3 |              66.3 |    976,500
        1117            11 |              72.5 |  1,069,500
        1118            14 |              62.5 |    919,500
        1119            15 |              79.2 |  1,170,000
        1120            12 |              85.5 |  1,264,500
        1121             3 |                50 |    732,000
        1122            10 |               4.5 |     49,500
        1123            11 |              61.6 |    906,000
        1124             7 |              82.9 |  1,225,500
        1125             1 |              39.9 |    580,500
        1126            17 |              98.7 |  1,462,500
        1127             8 |              89.2 |  1,320,000
        1128            18 |              55.3 |    811,500
        1129            15 |              70.7 |  1,042,500
        1130            14 |              29.5 |    424,500
        1131            18 |               8.3 |    106,500
        1132            13 |              70.1 |  1,033,500
        1133             6 |              91.7 |  1,357,500
        1134             5 |              29.9 |    430,500
        1135            13 |              30.8 |    444,000
        1136            19 |              64.6 |    951,000
        1137             3 |              60.1 |    883,500
        1138            11 |              28.6 |    411,000
        1139             9 |              48.6 |    711,000
        1140            19 |              55.9 |    820,500
        1141            19 |              37.8 |    549,000
        1142             6 |              59.2 |    870,000
        1143             1 |              66.6 |    981,000
        1144            17 |              65.3 |    961,500
        1145            10 |              85.4 |  1,263,000
        1146            17 |              45.5 |    664,500
        1147            10 |              77.8 |  1,149,000
        1148            15 |              55.8 |    819,000
        1149            12 |               1.3 |     12,000
        1150            14 |                82 |  1,212,000
        1151            20 |                 3 |     27,000
        1152            12 |              82.7 |  1,222,500
        1153             5 |              13.3 |    181,500
        1154            10 |              71.8 |  1,059,000
        1155            19 |              40.6 |    591,000
        1156             5 |              25.6 |    366,000
        1157             6 |              31.9 |    460,500
        1158             7 |              44.3 |    646,500
        1159            20 |              90.5 |  1,339,500
        1160            12 |              94.8 |  1,404,000
        1161             4 |              63.3 |    931,500
        1162            15 |              37.6 |    546,000
        1163             4 |              55.3 |    811,500
        1164             6 |              69.9 |  1,030,500
        1165             9 |              41.4 |    603,000
        1166             1 |              61.9 |    910,500
        1167             2 |              86.8 |  1,284,000
        1168            18 |               7.8 |     99,000
        1169            17 |              51.8 |    759,000
        1170             6 |               1.3 |     12,000
        1171            11 |              40.2 |    585,000
        1172            11 |              82.6 |  1,221,000
        1173            19 |              53.3 |    781,500
        1174            14 |              62.8 |    924,000
        1175            20 |               3.3 |     31,500
        1176            16 |                76 |  1,122,000
        1177            11 |              37.8 |    549,000
        1178            19 |              70.9 |  1,045,500
        1179             5 |              60.3 |    886,500
        1180            19 |              77.8 |  1,149,000
        1181             4 |              69.1 |  1,018,500
        1182            17 |              71.1 |  1,048,500
        1183             5 |              96.2 |  1,425,000
        1184             1 |              36.5 |    529,500
        1185             3 |              52.6 |    771,000
        1186             6 |              69.5 |  1,024,500
        1187            16 |              87.3 |  1,291,500
        1188             4 |              32.2 |    465,000
        1189             5 |              31.1 |    448,500
        1190            16 |              33.7 |    487,500
        1191             3 |              97.1 |  1,438,500
        1192             7 |              61.5 |    904,500
        1193             4 |              28.2 |    405,000
        1194             8 |              68.6 |  1,011,000
        1195             2 |              89.9 |  1,330,500
        1196            14 |              46.3 |    676,500
        1197            14 |              54.6 |    801,000
        1198            20 |              79.8 |  1,179,000
        1199            12 |              42.8 |    624,000
        1200             8 |               3.9 |     40,500
        1201            14 |              75.9 |  1,120,500
        1202             4 |              70.2 |  1,035,000
        1203            16 |              27.7 |    397,500
        1204            11 |              72.2 |  1,065,000
        1205            10 |              14.5 |    199,500
        1206            12 |              16.6 |    231,000
        1207             9 |               2.8 |     24,000
        1208             6 |              67.3 |    991,500
        1209            10 |              88.6 |  1,311,000
        1210             4 |              45.7 |    667,500
        1211             5 |               8.2 |    105,000
        1212             7 |              86.6 |  1,281,000
        1213            14 |              91.5 |  1,354,500
        1214            18 |              57.5 |    844,500
        1215            17 |              71.7 |  1,057,500
        1216            11 |               3.1 |     28,500
        1217            14 |              71.9 |  1,060,500
        1218             2 |              74.7 |  1,102,500
        1219            19 |              15.7 |    217,500
        1220            18 |              14.7 |    202,500
        1221            13 |              80.2 |  1,185,000
        1222            20 |               1.4 |     12,000
        1223             3 |                88 |  1,302,000
        1224             2 |                52 |    762,000
        1225             2 |              38.1 |    553,500
        1226             8 |              27.4 |    393,000
        1227            18 |              52.7 |    772,500
        1228            16 |              46.7 |    682,500
        1229            17 |                65 |    957,000
        1230            13 |              84.4 |  1,248,000
        1231            20 |              44.7 |    652,500
        1232             1 |              53.1 |    778,500
        1233            19 |              45.6 |    666,000
        1234            10 |              80.1 |  1,183,500
        1235             1 |               6.1 |     73,500
        1236            13 |              93.3 |  1,381,500
        1237            19 |              50.6 |    741,000
        1238            14 |                85 |  1,257,000
        1239             6 |              14.4 |    198,000
        1240             7 |              37.5 |    544,500
        1241            19 |              74.3 |  1,096,500
        1242             5 |                95 |  1,407,000
        1243             8 |              59.7 |    877,500
        1244             6 |              78.2 |  1,155,000
        1245            14 |                50 |    732,000
        1246            17 |               5.3 |     61,500
        1247            11 |                28 |    402,000
        1248            16 |              95.4 |  1,413,000
        1249             7 |              19.8 |    279,000
        1250            16 |              28.2 |    405,000
        1251            15 |              22.9 |    325,500
        1252             8 |              76.3 |  1,126,500
        1253            15 |              38.8 |    564,000
        1254            14 |              51.3 |    751,500
        1255             6 |               2.4 |     18,000
        1256             9 |              51.8 |    759,000
        1257             1 |              38.5 |    559,500
        1258            20 |                36 |    522,000
        1259            15 |              26.4 |    378,000
        1260             5 |              49.6 |    726,000
        1261             5 |              28.7 |    412,500
        1262            13 |              52.6 |    771,000
        1263            11 |              71.4 |  1,053,000
        1264            17 |              19.7 |    277,500
        1265            15 |              49.5 |    724,500
        1266            18 |              90.4 |  1,338,000
        1267             5 |                 5 |     57,000
        1268            10 |              21.3 |    301,500
        1269            17 |               5.9 |     70,500
        1270            18 |              65.6 |    966,000
        1271            20 |              44.3 |    646,500
        1272            20 |              32.9 |    475,500
        1273             1 |               3.3 |     31,500
        1274            20 |              57.4 |    843,000
        1275            18 |                96 |  1,422,000
        1276             4 |               2.1 |     13,500
        1277            18 |              68.5 |  1,009,500
        1278             7 |              99.6 |  1,476,000
        1279             2 |              10.8 |    144,000
        1280             7 |              84.1 |  1,243,500
        1281            18 |              56.8 |    834,000
        1282            17 |              45.8 |    669,000
        1283            19 |              91.4 |  1,353,000
        1284            13 |              74.5 |  1,099,500
        1285            20 |              94.8 |  1,404,000
        1286            16 |              97.2 |  1,440,000
        1287            12 |              40.2 |    585,000
        1288             9 |              84.8 |  1,254,000
        1289            15 |              11.1 |    148,500
        1290             5 |              12.6 |    171,000
        1291            19 |              10.8 |    144,000
        1292            20 |               1.8 |     12,000
        1293            17 |                45 |    657,000
        1294            11 |              71.1 |  1,048,500
        1295            11 |              27.8 |    399,000
        1296            14 |              97.8 |  1,449,000
        1297            15 |              80.2 |  1,185,000
        1298            18 |              86.3 |  1,276,500
        1299            11 |              69.6 |  1,026,000
        1300            11 |                94 |  1,392,000
        1301            10 |              58.5 |    859,500
        1302            14 |              50.6 |    741,000
        1303            12 |              11.2 |    150,000
        1304            15 |                76 |  1,122,000
        1305            13 |              48.9 |    715,500
        1306            19 |               3.9 |     40,500
        1307             3 |              21.1 |    298,500
        1308            15 |              12.1 |    163,500
        1309             7 |              37.9 |    550,500
        1310            12 |              69.7 |  1,027,500
        1311             1 |              29.5 |    424,500
        1312            19 |              53.8 |    789,000
        1313            19 |              15.6 |    216,000
        1314            10 |               3.4 |     33,000
        1315            20 |              90.2 |  1,335,000
        1316            20 |              28.9 |    415,500
        1317            16 |              97.5 |  1,444,500
        1318             6 |              29.4 |    423,000
        1319            10 |               8.8 |    114,000
        1320             5 |              52.3 |    766,500
        1321            19 |              19.2 |    270,000
        1322             7 |              76.6 |  1,131,000
        1323             9 |              73.6 |  1,086,000
        1324            20 |              32.1 |    463,500
        1325            14 |              40.5 |    589,500
        1326             4 |              60.4 |    888,000
        1327            18 |              76.9 |  1,135,500
        1328             7 |              57.1 |    838,500
        1329             6 |              42.7 |    622,500
        1330             7 |              56.3 |    826,500
        1331            18 |              77.6 |  1,146,000
        1332            11 |              26.5 |    379,500
        1333             3 |              79.4 |  1,173,000
        1334            11 |              28.8 |    414,000
        1335             2 |              21.4 |    303,000
        1336             9 |              80.1 |  1,183,500
        1337             1 |              19.8 |    279,000
        1338             3 |              45.5 |    664,500
        1339             4 |                83 |  1,227,000
        1340            19 |                45 |    657,000
        1341            16 |              60.4 |    888,000
        1342            19 |               4.8 |     54,000
        1343            10 |              11.6 |    156,000
        1344            14 |              74.6 |  1,101,000
        1345            14 |              73.8 |  1,089,000
        1346             1 |              37.5 |    544,500
        1347             2 |              31.7 |    457,500
        1348            14 |              13.4 |    183,000
        1349             1 |               9.1 |    118,500
        1350            17 |              13.3 |    181,500
        1351            11 |              82.1 |  1,213,500
        1352             8 |              37.2 |    540,000
        1353             7 |              39.3 |    571,500
        1354             3 |               8.1 |    103,500
        1355            11 |              51.5 |    754,500
        1356             7 |              57.8 |    849,000
        1357             1 |               7.1 |     88,500
        1358            13 |              62.3 |    916,500
        1359             1 |               1.4 |     12,000
        1360            18 |              26.5 |    379,500
        1361             4 |              15.1 |    208,500
        1362            13 |              11.5 |    154,500
        1363            18 |              68.9 |  1,015,500
        1364            11 |              27.5 |    394,500
        1365             2 |                82 |  1,212,000
        1366            10 |              31.3 |    451,500
        1367             2 |              98.3 |  1,456,500
        1368            13 |              23.2 |    330,000
        1369            19 |              73.9 |  1,090,500
        1370             6 |              43.1 |    628,500
        1371             1 |              36.2 |    525,000
        1372             7 |              83.5 |  1,234,500
        1373             3 |              39.1 |    568,500
        1374             7 |                 4 |     42,000
        1375             4 |              55.6 |    816,000
        1376             3 |              92.1 |  1,363,500
        1377             6 |              23.1 |    328,500
        1378            14 |              92.6 |  1,371,000
        1379            10 |              84.2 |  1,245,000
        1380             6 |              45.2 |    660,000
        1381             4 |              19.4 |    273,000
        1382             6 |              56.3 |    826,500
        1383             7 |              87.8 |  1,299,000
        1384             8 |              59.8 |    879,000
        1385            12 |              99.5 |  1,474,500
        1386            16 |               1.4 |     12,000
        1387            12 |                28 |    402,000
        1388            18 |              85.2 |  1,260,000
        1389            11 |               5.2 |     60,000
        1390            18 |               5.4 |     63,000
        1391             5 |              80.4 |  1,188,000
        1392            15 |              82.4 |  1,218,000
        1393            20 |              92.6 |  1,371,000
        1394             9 |              41.2 |    600,000
        1395            18 |                19 |    267,000
        1396            17 |              32.4 |    468,000
        1397            15 |              65.4 |    963,000
        1398            10 |              57.3 |    841,500
        1399             7 |              43.7 |    637,500
        1400            15 |              64.2 |    945,000
        1401             6 |              51.4 |    753,000
        1402            15 |              79.2 |  1,170,000
        1403            17 |              76.7 |  1,132,500
        1404            16 |              23.5 |    334,500
        1405             1 |              70.9 |  1,045,500
        1406             5 |              46.8 |    684,000
        1407            18 |              67.8 |    999,000
        1408             3 |              56.5 |    829,500
        1409            11 |              60.3 |    886,500
        1410             2 |              16.9 |    235,500
        1411            15 |              36.6 |    531,000
        1412            12 |              24.6 |    351,000
        1413             2 |              34.5 |    499,500
        1414             1 |              33.9 |    490,500
        1415            20 |               2.1 |     13,500
        1416            17 |                56 |    822,000
        1417            12 |              10.6 |    141,000
        1418            12 |              17.4 |    243,000
        1419             8 |              63.7 |    937,500
        1420            20 |              82.1 |  1,213,500
        1421            15 |              85.7 |  1,267,500
        1422            14 |              70.4 |  1,038,000
        1423            20 |                18 |    252,000
        1424             1 |              18.6 |    261,000
        1425             3 |              78.8 |  1,164,000
        1426            16 |                81 |  1,197,000
        1427            19 |              33.7 |    487,500
        1428             4 |              57.4 |    843,000
        1429             3 |              42.5 |    619,500
        1430            14 |              70.6 |  1,041,000
        1431             9 |               1.2 |     12,000
        1432             8 |                42 |    612,000
        1433            14 |                88 |  1,302,000
        1434            18 |              17.9 |    250,500
        1435            20 |              48.6 |    711,000
        1436            18 |              29.2 |    420,000
        1437            16 |              82.6 |  1,221,000
        1438             2 |              26.6 |    381,000
        1439            20 |              60.4 |    888,000
        1440             4 |              65.2 |    960,000
        1441            18 |              37.1 |    538,500
        1442            15 |              15.3 |    211,500
        1443             1 |                55 |    807,000
        1444             4 |              46.1 |    673,500
        1445            12 |              46.3 |    676,500
        1446             1 |                70 |  1,032,000
        1447             1 |              43.3 |    631,500
        1448            12 |               1.1 |     12,000
        1449            15 |              86.7 |  1,282,500
        1450             7 |              93.3 |  1,381,500
        1451             1 |              16.5 |    229,500
        1452            20 |              28.8 |    414,000
        1453            10 |              50.7 |    742,500
        1454             4 |              51.6 |    756,000
        1455            12 |              54.9 |    805,500
        1456             1 |              86.1 |  1,273,500
        1457             1 |              73.7 |  1,087,500
        1458             3 |              27.5 |    394,500
        1459             9 |              79.2 |  1,170,000
        1460             4 |              82.6 |  1,221,000
        1461            19 |              86.5 |  1,279,500
        1462            17 |               7.9 |    100,500
        1463            17 |              35.1 |    508,500
        1464             5 |                80 |  1,182,000
        1465            19 |              97.6 |  1,446,000
        1466            13 |              91.1 |  1,348,500
        1467            18 |              63.3 |    931,500
        1468            10 |                 1 |     12,000
        1469            18 |              40.6 |    591,000
        1470            10 |              52.9 |    775,500
        1471             5 |              14.1 |    193,500
        1472            13 |              42.5 |    619,500
        1473            11 |              17.1 |    238,500
        1474            19 |              76.8 |  1,134,000
        1475             2 |                56 |    822,000
        1476             3 |              15.2 |    210,000
        1477             3 |              40.6 |    591,000
        1478             5 |              61.8 |    909,000
        1479            19 |              21.1 |    298,500
        1480             1 |              52.4 |    768,000
        1481            13 |              89.1 |  1,318,500
        1482             7 |              68.9 |  1,015,500
        1483            13 |              92.8 |  1,374,000
        1484             4 |              64.4 |    948,000
        1485            19 |              37.7 |    547,500
        1486             5 |              75.7 |  1,117,500
        1487            19 |               2.2 |     15,000
        1488            19 |              32.9 |    475,500
        1489            20 |                 9 |    117,000
        1490            11 |              32.6 |    471,000
        1491             6 |              75.7 |  1,117,500
        1492            13 |              63.9 |    940,500
        1493             8 |              96.9 |  1,435,500
        1494             5 |              25.5 |    364,500
        1495             6 |                67 |    987,000
        1496             3 |              92.5 |  1,369,500
        1497             7 |              99.3 |  1,471,500
        1498             1 |                84 |  1,242,000
        1499             9 |              91.3 |  1,351,500
        1500            10 |                11 |    147,000
        1501             2 |              30.2 |    435,000
        1502            10 |              90.9 |  1,345,500
        1503            19 |              54.9 |    805,500
        1504            13 |                51 |    747,000
        1505            19 |              74.2 |  1,095,000
        1506            17 |               7.5 |     94,500
        1507            18 |              51.7 |    757,500
        1508            18 |              37.7 |    547,500
        1509             3 |              19.3 |    271,500
        1510             6 |              91.5 |  1,354,500
        1511            12 |              39.5 |    574,500
        1512            12 |              79.1 |  1,168,500
        1513             7 |              89.7 |  1,327,500
        1514             5 |              19.6 |    276,000
        1515             9 |              51.8 |    759,000
        1516            11 |              27.6 |    396,000
        1517             8 |              52.8 |    774,000
        1518            16 |              39.2 |    570,000
        1519             5 |              86.7 |  1,282,500
        1520             4 |              46.8 |    684,000
        1521            10 |              97.9 |  1,450,500
        1522            17 |              98.8 |  1,464,000
        1523            16 |              49.3 |    721,500
        1524             3 |                99 |  1,467,000
        1525             7 |              72.1 |  1,063,500
        1526            17 |              49.8 |    729,000
        1527            19 |              40.8 |    594,000
        1528            12 |              78.4 |  1,158,000
        1529             8 |              32.2 |    465,000
        1530            15 |              12.1 |    163,500
        1531            12 |              71.7 |  1,057,500
        1532             7 |              62.1 |    913,500
        1533            13 |              22.8 |    324,000
        1534            17 |                20 |    282,000
        1535            15 |               2.6 |     21,000
        1536            15 |               4.7 |     52,500
        1537             3 |                46 |    672,000
        1538             1 |              56.2 |    825,000
        1539            11 |              39.8 |    579,000
        1540            14 |              16.5 |    229,500
        1541            13 |              42.4 |    618,000
        1542            19 |              37.9 |    550,500
        1543            17 |              57.8 |    849,000
        1544             4 |              19.2 |    270,000
        1545            17 |              43.8 |    639,000
        1546            11 |              80.4 |  1,188,000
        1547            19 |              94.2 |  1,395,000
        1548            14 |              24.3 |    346,500
        1549            14 |              82.8 |  1,224,000
        1550            13 |              87.6 |  1,296,000
        1551            19 |              60.6 |    891,000
        1552            13 |              45.7 |    667,500
        1553            15 |              19.6 |    276,000
        1554            16 |              35.7 |    517,500
        1555            13 |                31 |    447,000
        1556            12 |                47 |    687,000
        1557            13 |              49.9 |    730,500
        1558             2 |              96.5 |  1,429,500
        1559             3 |              28.3 |    406,500
        1560            11 |              18.1 |    253,500
        1561             1 |              88.7 |  1,312,500
        1562            12 |              62.3 |    916,500
        1563             1 |              15.1 |    208,500
        1564            15 |              66.4 |    978,000
        1565            13 |              16.2 |    225,000
        1566             1 |              29.1 |    418,500
        1567            13 |              15.4 |    213,000
        1568            18 |              29.9 |    430,500
        1569             1 |              25.9 |    370,500
        1570            14 |              47.7 |    697,500
        1571             1 |              30.6 |    441,000
        1572            16 |              20.9 |    295,500
        1573             2 |              78.9 |  1,165,500
        1574            17 |              16.1 |    223,500
        1575             4 |                 3 |     27,000
        1576             4 |               6.6 |     81,000
        1577            11 |              40.3 |    586,500
        1578            14 |              16.2 |    225,000
        1579             5 |              57.9 |    850,500
        1580             4 |              93.9 |  1,390,500
        1581            20 |              36.2 |    525,000
        1582             2 |              49.2 |    720,000
        1583             3 |              19.7 |    277,500
        1584             5 |              29.5 |    424,500
        1585             3 |              95.5 |  1,414,500
        1586             6 |              91.8 |  1,359,000
        1587             2 |               7.5 |     94,500
        1588             8 |               5.9 |     70,500
        1589            13 |              40.6 |    591,000
        1590            18 |              31.9 |    460,500
        1591             4 |              71.6 |  1,056,000
        1592            20 |              79.9 |  1,180,500
        1593             4 |              81.1 |  1,198,500
        1594             8 |              65.6 |    966,000
        1595             3 |              65.3 |    961,500
        1596            19 |              13.8 |    189,000
        1597            15 |               4.7 |     52,500
        1598            11 |              82.1 |  1,213,500
        1599            12 |              40.9 |    595,500
        1600             7 |              67.7 |    997,500
        1601            19 |              70.2 |  1,035,000
        1602            12 |              43.3 |    631,500
        1603            12 |              69.1 |  1,018,500
        1604            15 |              29.1 |    418,500
        1605             4 |              98.4 |  1,458,000
        1606            10 |              13.3 |    181,500
        1607            20 |              56.2 |    825,000
        1608             7 |              21.9 |    310,500
        1609            13 |              81.6 |  1,206,000
        1610            18 |              61.8 |    909,000
        1611             9 |              52.3 |    766,500
        1612             9 |              31.7 |    457,500
        1613             6 |              42.6 |    621,000
        1614            15 |              53.6 |    786,000
        1615            20 |              34.5 |    499,500
        1616             8 |              67.2 |    990,000
        1617            19 |               2.3 |     16,500
        1618             3 |              13.5 |    184,500
        1619             1 |              80.7 |  1,192,500
        1620            15 |              35.5 |    514,500
        1621            18 |                87 |  1,287,000
        1622            19 |               9.8 |    129,000
        1623            10 |              74.3 |  1,096,500
        1624             8 |                96 |  1,422,000
        1625            15 |                11 |    147,000
        1626            18 |              73.5 |  1,084,500
        1627            17 |              56.1 |    823,500
        1628            10 |              77.6 |  1,146,000
        1629            19 |              79.3 |  1,171,500
        1630            18 |              77.7 |  1,147,500
        1631             2 |              32.6 |    471,000
        1632             7 |              31.2 |    450,000
        1633            14 |              13.8 |    189,000
        1634            19 |                72 |  1,062,000
        1635             9 |              69.9 |  1,030,500
        1636            16 |              27.7 |    397,500
        1637             7 |              80.1 |  1,183,500
        1638             8 |              19.6 |    276,000
        1639             9 |              26.2 |    375,000
        1640            10 |               3.2 |     30,000
        1641            19 |              57.6 |    846,000
        1642             3 |               4.1 |     43,500
        1643            14 |              37.1 |    538,500
        1644            17 |              32.3 |    466,500
        1645            17 |              69.8 |  1,029,000
        1646            11 |              92.9 |  1,375,500
        1647            10 |              30.3 |    436,500
        1648            17 |              16.3 |    226,500
        1649            11 |              27.1 |    388,500
        1650             2 |              50.6 |    741,000
        1651             8 |              44.1 |    643,500
        1652             2 |              95.6 |  1,416,000
        1653             5 |              50.4 |    738,000
        1654            15 |              67.4 |    993,000
        1655            17 |              49.3 |    721,500
        1656             9 |              70.1 |  1,033,500
        1657            15 |              40.9 |    595,500
        1658            12 |              56.2 |    825,000
        1659            10 |              97.7 |  1,447,500
        1660            19 |              90.6 |  1,341,000
        1661             1 |              81.7 |  1,207,500
        1662            12 |              53.5 |    784,500
        1663             6 |               3.6 |     36,000
        1664             5 |                 7 |     87,000
        1665             3 |              17.8 |    249,000
        1666             8 |              69.5 |  1,024,500
        1667            14 |                86 |  1,272,000
        1668            17 |                43 |    627,000
        1669             9 |              84.8 |  1,254,000
        1670            10 |              98.8 |  1,464,000
        1671            15 |              90.9 |  1,345,500
        1672             7 |              57.6 |    846,000
        1673            16 |              42.5 |    619,500
        1674             3 |               4.5 |     49,500
        1675             9 |              55.9 |    820,500
        1676            16 |              76.5 |  1,129,500
        1677            12 |              63.4 |    933,000
        1678             5 |               5.4 |     63,000
        1679            18 |                52 |    762,000
        1680             9 |                70 |  1,032,000
        1681             4 |              41.4 |    603,000
        1682            16 |               7.2 |     90,000
